emp_id,performance_score
10283,Needs Improvement
10018,Exceeds
10255,Fully Meets
10246,Fully Meets
10228,Fully Meets
10243,Fully Meets
10031,Exceeds
10300,PIP
10101,Fully Meets
10237,Fully Meets
10051,Fully Meets
10218,Fully Meets
10256,Fully Meets
10098,Fully Meets
10059,Fully Meets
10234,Fully Meets
10109,Fully Meets
10125,Fully Meets
10074,Fully Meets
10097,Fully Meets
10007,Exceeds
10129,Fully Meets
10075,Fully Meets
10167,Fully Meets
10195,Fully Meets
10112,Fully Meets
10272,Fully Meets
10182,Fully Meets
10248,Fully Meets
10201,Fully Meets
10214,Fully Meets
10160,Fully Meets
10289,Needs Improvement
10139,Fully Meets
10227,Fully Meets
10236,Fully Meets
10009,Exceeds
10060,Fully Meets
10034,Exceeds
10156,Fully Meets
10036,Exceeds
10138,Fully Meets
10244,Fully Meets
10192,Fully Meets
10231,Fully Meets
10089,Fully Meets
10166,Fully Meets
10170,Fully Meets
10208,Fully Meets
10176,Fully Meets
10165,Fully Meets
10113,Fully Meets
10092,Fully Meets
10106,Fully Meets
10052,Fully Meets
10038,Fully Meets
10249,Fully Meets
10232,Fully Meets
10087,Fully Meets
10134,Fully Meets
10251,Fully Meets
10103,Fully Meets
10017,Exceeds
10186,Fully Meets
10137,Fully Meets
10008,Exceeds
10096,Fully Meets
10035,Exceeds
10057,Fully Meets
10004,Exceeds
10191,Fully Meets
10219,Fully Meets
10077,Fully Meets
10073,Fully Meets
10279,Fully Meets
10110,Fully Meets
10053,Fully Meets
10076,Fully Meets
10145,Fully Meets
10202,Fully Meets
10128,Fully Meets
10068,Fully Meets
10116,Fully Meets
10298,PIP
10213,Fully Meets
10288,Needs Improvement
10025,Exceeds
10223,Fully Meets
10151,Fully Meets
10254,Fully Meets
10120,Fully Meets
10216,Fully Meets
10079,Fully Meets
10215,Fully Meets
10185,Fully Meets
10063,Fully Meets
10037,Exceeds
10042,Fully Meets
10206,Fully Meets
10104,Fully Meets
10303,PIP
10078,Fully Meets
10121,Fully Meets
10021,Exceeds
10281,Needs Improvement
10041,Fully Meets
10148,Fully Meets
10005,Exceeds
10259,Fully Meets
10286,Needs Improvement
10297,Needs Improvement
10171,Fully Meets
10032,Exceeds
10130,Fully Meets
10217,Fully Meets
10016,Exceeds
10050,Fully Meets
10164,Fully Meets
10124,Fully Meets
10187,Fully Meets
10225,Fully Meets
10262,Fully Meets
10131,Fully Meets
10239,Fully Meets
10152,Fully Meets
10140,Fully Meets
10058,Fully Meets
10011,Exceeds
10230,Fully Meets
10224,Fully Meets
10047,Fully Meets
10285,Needs Improvement
10020,Exceeds
10162,Fully Meets
10149,Fully Meets
10086,Fully Meets
10054,Fully Meets
10065,Fully Meets
10198,Fully Meets
10222,Fully Meets
10126,Fully Meets
10295,Needs Improvement
10260,Fully Meets
10233,Fully Meets
10229,Fully Meets
10169,Fully Meets
10071,Fully Meets
10179,Fully Meets
10091,Fully Meets
10178,Fully Meets
10039,Fully Meets
10095,Fully Meets
10027,Exceeds
10291,Needs Improvement
10153,Fully Meets
10157,Fully Meets
10119,Fully Meets
10180,Fully Meets
10302,PIP
10090,Fully Meets
10030,Exceeds
10278,Fully Meets
10307,PIP
10147,Fully Meets
10266,Fully Meets
10241,Fully Meets
10158,Fully Meets
10117,Fully Meets
10209,Fully Meets
10024,Exceeds
10173,Fully Meets
10221,Fully Meets
10146,Fully Meets
10161,Fully Meets
10141,Fully Meets
10268,Fully Meets
10123,Fully Meets
10013,Exceeds
10287,Needs Improvement
10044,Fully Meets
10102,Fully Meets
10270,Fully Meets
10045,Fully Meets
10205,Fully Meets
10014,Exceeds
10144,Fully Meets
10253,Fully Meets
10118,Fully Meets
10022,Exceeds
10183,Fully Meets
10190,Fully Meets
10274,Fully Meets
10293,Needs Improvement
10172,Fully Meets
10127,Fully Meets
10072,Fully Meets
10048,Fully Meets
10204,Fully Meets
10264,Fully Meets
10033,Exceeds
10174,Fully Meets
10135,Fully Meets
10301,PIP
10010,Exceeds
10043,Fully Meets
10271,Fully Meets
